version,trip_id,actual_events,predicted_events,tp_events,fp_events,fn_events,tp_events_tol1,fp_events_tol1,fn_events_tol1,alert_rows,actual_change_rows
v1_main,1866851775062800,4,5,1,4,3,1,4,3,5,4
v1_main,1278961775037478,4,5,1,4,3,1,4,3,7,4
v1_main,712571775055448,4,4,1,3,3,1,3,3,8,4
v1_main,1821231775067465,4,4,1,3,3,2,2,2,8,4
v1_main,1648871775322408,4,4,1,3,3,1,3,3,6,4
v1_main,716761775049801,4,4,1,3,3,1,3,3,8,4
v1_main,1829681775045981,6,6,3,3,3,3,3,3,8,6
v1_main,1661621775158213,4,4,1,3,3,1,3,3,4,4
v1_main,1213891775060917,4,4,1,3,3,1,3,3,5,4
v1_main,1480091775247591,4,4,1,3,3,1,3,3,10,4
v1_main,1808741775103101,6,5,3,2,3,3,2,3,7,6
v1_main,1808601775210259,4,3,1,2,3,1,2,3,6,4
v1_main,717081775342196,4,3,1,2,3,1,2,3,5,4
v1_main,1264291775172775,4,3,1,2,3,1,2,3,4,4
v1_main,1867461776293403,4,3,1,2,3,1,2,3,5,4
v1_main,1866991775055199,4,2,1,1,3,1,1,3,2,4
v1_main,1486491775252958,4,2,1,1,3,1,1,3,3,4
v1_main,1250361775098312,4,2,1,1,3,1,1,3,4,4
v1_main,716971775198881,4,2,1,1,3,1,1,3,3,4
v1_main,717131775297221,4,2,1,1,3,1,1,3,4,4
v1_main,1791681776289076,6,3,3,0,3,3,0,3,4,6
v1_main,1790381775157640,2,17,0,17,2,0,17,2,21,2
v1_main,1213811775057001,2,12,0,12,2,0,12,2,20,2
v1_main,716511775531224,2,11,0,11,2,0,11,2,16,2
v1_main,1245811776333528,3,11,1,10,2,1,10,2,13,3
v1_main,1790351775273792,2,9,0,9,2,0,9,2,13,2
v1_main,716721775048243,3,9,1,8,2,2,7,1,14,3
v1_main,711331775099796,2,8,0,8,2,0,8,2,12,2
v1_main,717021775128218,2,6,0,6,2,0,6,2,8,2
v1_main,1661621775174220,2,6,0,6,2,0,6,2,8,2
v1_main,1804581775066483,2,6,0,6,2,1,5,1,8,2
v1_main,1808801775077476,3,7,1,6,2,1,6,2,10,3
v1_main,716291775508813,2,6,0,6,2,0,6,2,8,2
v1_main,1661491775292478,2,6,0,6,2,0,6,2,7,2
v1_main,1866741775041537,2,6,0,6,2,0,6,2,7,2
v1_main,1867531776567943,2,6,0,6,2,0,6,2,8,2
v1_main,1867511776385060,2,6,0,6,2,0,6,2,6,2
v1_main,1526701775023627,2,5,0,5,2,1,4,1,10,2
v1_main,1808601776370452,2,5,0,5,2,0,5,2,5,2
v1_main,1480121775491525,2,5,0,5,2,0,5,2,9,2
v1_main,1867201775180470,2,5,0,5,2,0,5,2,5,2
v1_main,1593491776481385,2,5,0,5,2,1,4,1,8,2
v1_main,1509291776301080,4,7,2,5,2,2,5,2,7,4
v1_main,1791681775136380,3,6,1,5,2,2,4,1,6,3
v1_main,1849501776351238,3,6,1,5,2,1,5,2,8,3
v1_main,1809001775245550,4,6,2,4,2,3,3,1,9,4
v1_main,1098641775019397,2,4,0,4,2,0,4,2,6,2
v1_main,716681775305122,2,4,0,4,2,0,4,2,6,2
v1_main,1648871775293761,4,6,2,4,2,2,4,2,10,4
v1_main,717081775440049,2,4,0,4,2,0,4,2,8,2
v1_main,1264091775113066,2,4,0,4,2,0,4,2,8,2
v1_main,1648901775057795,4,6,2,4,2,2,4,2,8,4
v1_main,1592551776300447,2,4,0,4,2,0,4,2,5,2
v1_main,1820971776472290,2,4,0,4,2,0,4,2,4,2
v1_main,1790471776380016,2,4,0,4,2,0,4,2,4,2
v1_main,1823901775072439,2,3,0,3,2,0,3,2,4,2
v1_main,1719771775121374,2,3,0,3,2,0,3,2,4,2
v1_main,1852761776692357,2,3,0,3,2,1,2,1,3,2
v1_main,711331775079249,2,3,0,3,2,0,3,2,5,2
v1_main,1625481776460195,2,3,0,3,2,0,3,2,4,2
v1_main,1480061775299920,3,4,1,3,2,1,3,2,6,3
v1_main,1867151776307537,2,3,0,3,2,0,3,2,4,2
v1_main,1821101775164848,2,2,0,2,2,0,2,2,2,2
v1_main,1719051775155221,2,2,0,2,2,0,2,2,3,2
v1_main,716761775114906,2,2,0,2,2,0,2,2,5,2
v1_main,1052571775085688,3,3,1,2,2,1,2,2,6,3
v1_main,1793121776374158,2,2,0,2,2,0,2,2,2,2
v1_main,1808631775233569,2,2,0,2,2,0,2,2,2,2
v1_main,1985391775231519,2,2,0,2,2,0,2,2,4,2
v1_main,1791321775602315,2,2,0,2,2,0,2,2,5,2
v1_main,711781776748462,2,2,0,2,2,0,2,2,2,2
v1_main,1829671776951039,2,2,0,2,2,0,2,2,2,2
v1_main,1808931775256993,2,2,0,2,2,0,2,2,2,2
v1_main,1866631775164148,2,2,0,2,2,0,2,2,4,2
v1_main,1790541776387408,2,2,0,2,2,0,2,2,3,2
v1_main,1852761776296553,2,2,0,2,2,0,2,2,3,2
v1_main,1808631775136624,2,2,0,2,2,0,2,2,3,2
v1_main,1791341776525490,2,2,0,2,2,0,2,2,2,2
v1_main,1821171775184522,2,2,0,2,2,0,2,2,3,2
v1_main,1480061776559750,2,2,0,2,2,0,2,2,2,2
v1_main,1790651775239550,2,2,0,2,2,0,2,2,2,2
v1_main,717151776566389,2,2,0,2,2,0,2,2,2,2
v1_main,1847001776293430,2,2,0,2,2,0,2,2,2,2
v1_main,712661775366997,2,1,0,1,2,0,1,2,1,2
v1_main,1866411775417464,2,1,0,1,2,0,1,2,2,2
v1_main,1509291775178980,2,1,0,1,2,0,1,2,1,2
v1_main,1867151776377491,2,1,0,1,2,0,1,2,1,2
v1_main,1848311775170666,2,1,0,1,2,0,1,2,2,2
v1_main,1264291775143352,2,1,0,1,2,0,1,2,1,2
v1_main,716651775067080,2,1,0,1,2,1,0,1,2,2
v1_main,716561775756801,2,1,0,1,2,0,1,2,1,2
v1_main,1821221775144788,2,1,0,1,2,0,1,2,2,2
v1_main,1790511776574680,2,1,0,1,2,0,1,2,1,2
v1_main,1866631776433951,2,1,0,1,2,0,1,2,1,2
v1_main,1716901775095020,2,1,0,1,2,0,1,2,1,2
v1_main,1848401776387287,2,1,0,1,2,0,1,2,1,2
v1_main,1849491776290478,2,1,0,1,2,0,1,2,1,2
v1_main,1888041776367331,2,1,0,1,2,0,1,2,1,2
v1_main,1569091775355421,2,0,0,0,2,0,0,2,0,2
v1_main,1592551776402564,2,0,0,0,2,0,0,2,0,2
v1_main,1790391775681989,2,0,0,0,2,0,0,2,0,2
v1_main,1509271775124548,3,1,1,0,2,1,0,2,1,3
v1_main,1066141775063347,2,0,0,0,2,0,0,2,0,2
v1_main,1509331775567630,2,0,0,0,2,0,0,2,0,2
v1_main,1888041776316680,3,1,1,0,2,1,0,2,1,3
v1_main,1649021776287989,3,1,1,0,2,1,0,2,1,3
v1_main,1214301775622904,3,12,2,10,1,2,10,1,17,3
v1_main,716741775125491,2,11,1,10,1,1,10,1,14,2
v1_main,1263951775102100,3,11,2,9,1,2,9,1,15,3
v1_main,1214401775047277,2,10,1,9,1,1,9,1,17,2
v1_main,1264291776430246,2,10,1,9,1,1,9,1,13,2
v1_main,1866471775146080,2,10,1,9,1,1,9,1,14,2
v1_main,1808551775226912,2,9,1,8,1,1,8,1,16,2
v1_main,1829581775119710,2,9,1,8,1,2,7,0,13,2
v1_main,1792431775157755,2,8,1,7,1,1,7,1,9,2
v1_main,1264281775205639,2,7,1,6,1,1,6,1,10,2
v1_main,1790511775028122,2,7,1,6,1,1,6,1,8,2
v1_main,1256191775060406,2,6,1,5,1,1,5,1,9,2
v1_main,1829581775054821,2,6,1,5,1,1,5,1,9,2
v1_main,1480091776346277,2,6,1,5,1,1,5,1,7,2
v1_main,1866531775078713,2,5,1,4,1,2,3,0,6,2
v1_main,1593491775057473,1,4,0,4,1,0,4,1,7,1
v1_main,1648911775324423,1,4,0,4,1,0,4,1,5,1
v1_main,1592551775068703,2,5,1,4,1,2,3,0,6,2
v1_main,1804591775141167,2,4,1,3,1,1,3,1,6,2
v1_main,1823901775027682,2,4,1,3,1,1,3,1,5,2
v1_main,1618671775002688,1,2,0,2,1,0,2,1,3,1
v1_main,1866991775030159,2,3,1,2,1,1,2,1,7,2
v1_main,1866491775117837,1,2,0,2,1,0,2,1,3,1
v1_main,1213801776293169,3,4,2,2,1,2,2,1,5,3
v1_main,1866651776307639,1,1,0,1,1,0,1,1,1,1
v1_main,1821221776430126,2,2,1,1,1,2,0,0,2,2
v1_main,1808801776356704,3,3,2,1,1,2,1,1,5,3
v1_main,1804461775342198,2,1,1,0,1,1,0,1,2,2
v1_main,1866681775314197,1,0,0,0,1,0,0,1,0,1
v1_main,712061776937695,1,0,0,0,1,0,0,1,0,1
v1_main,1264401776301422,2,1,1,0,1,1,0,1,1,2
v1_main,1649021776376575,2,1,1,0,1,1,0,1,1,2
v1_main,1702061775117724,2,1,1,0,1,1,0,1,1,2
v1_main,1790381775115128,0,20,0,20,0,0,20,0,29,0
v1_main,1214401775103670,0,18,0,18,0,0,18,0,26,0
